        Time / ns                i1 (8)/real
               13.534133                     -0.31338137
               13.597974                     -0.37762812
               13.661814                     -0.43998295
               13.725654                     -0.50004429
               13.789495                      -0.5574277
               13.853334                     -0.61176908
               13.917175                     -0.66272753
               13.981015                     -0.70998842
               14.044855                     -0.75326592
               14.108696                     -0.79230517
               14.172536                     -0.82688421
               14.236376                     -0.85681605
               14.300217                     -0.88194948
               14.364057                     -0.90217048
               14.427896                     -0.91740263
               14.491737                     -0.92760742
               14.555577                      -0.9327842
               14.619417                     -0.93296981
               14.683258                     -0.92823768
               14.747098                      -0.9186967
               14.810938                     -0.90448999
               14.874779                     -0.88579291
               14.938619                     -0.86281121
                15.00246                     -0.83577889
               15.066299                     -0.80495536
               15.130139                     -0.77062315
                15.19398                     -0.73308486
                15.25782                     -0.69266015
                15.32166                     -0.64968282
               15.385501                     -0.60449767
               15.449341                     -0.55745721
               15.513181                     -0.50891858
               15.577022                     -0.45924038
               15.640862                     -0.40877959
               15.704701                     -0.35788876
               15.768542                     -0.30691293
               15.832382                     -0.25618705
               15.896223                     -0.20603347
               15.960063                      -0.1567596
               16.023903                     -0.10865574
               16.087744                    -0.061993219
               16.151583                    -0.017022749
               16.215424                     0.026026994
               16.279264                     0.066950515
               16.343105                      0.10556639
               16.406944                      0.14171791
               16.470785                      0.17527345
               16.534626                      0.20612659
               16.598465                      0.23419602
               16.662306                      0.25942519
               16.726147                       0.2817817
               16.789986                      0.30125663
               16.853827                      0.31786346
               16.917667                      0.33163705
               16.981506                      0.34263226
               17.045347                      0.35092261
               17.109188                      0.35659873
               17.173027                      0.35976672
               17.236868                      0.36054656
               17.300709                      0.35907021
               17.364548                      0.35548005
               17.428389                      0.34992686
               17.492229                      0.34256837
               17.556068                      0.33356717
               17.619909                      0.32308939
                17.68375                      0.31130275
               17.747589                      0.29837513
                17.81143                      0.28447318
               17.875271                      0.26976079
                17.93911                      0.25439793
               18.002951                      0.23853943
               18.066792                      0.22233394
                18.13063                      0.20592307
               18.194471                       0.1894405
               18.258312                      0.17301144
               18.322153                       0.1567519
               18.385992                      0.14076847
               18.449833                      0.12515786
               18.513674                      0.11000683
               18.577513                     0.095392011
               18.641354                     0.081379987
               18.705194                     0.068027407
               18.769033                     0.055381197
               18.832874                      0.04347885
               18.896715                     0.032348778
               18.960554                     0.022010736
               19.024395                     0.012476325
               19.088236                    0.0037494863
               19.152075                   -0.0041729198
               19.215916                    -0.011300535
               19.279757                    -0.017648891
               19.343596                    -0.023238795
               19.407436                    -0.028095707
               19.471277                    -0.032249119
               19.535116                    -0.035731945
               19.598957                    -0.038579933
               19.662798                    -0.040831082
               19.726637                    -0.042525094
               19.790478                    -0.043702867
               19.854319                    -0.044405993
               19.918158                    -0.044676308
               19.981998                    -0.044555478
               20.045839                    -0.044084623
                20.10968                    -0.043303978
               20.173519                    -0.042252578
                20.23736                    -0.040968023
               20.301201                    -0.039486241
                20.36504                    -0.037841301
               20.428881                    -0.036065277
               20.492722                    -0.034188114
               20.556561                    -0.032237574
               20.620401                    -0.030239167
               20.684242                    -0.028216129
               20.748081                    -0.026189439
               20.811922                    -0.024177827
               20.875763                    -0.022197839
               20.939602                    -0.020263894
               21.003443                    -0.018388366
               21.067284                    -0.016581681
               21.131123                    -0.014852419
               21.194963                    -0.013207437
               21.258804                    -0.011651975
               21.322643                    -0.010189798
               21.386484                   -0.0088233082
               21.450325                   -0.0075536845
               21.514164                   -0.0063810032
               21.578005                   -0.0053043677
               21.641846                   -0.0043220269
               21.705685                   -0.0034314962
               21.769526                   -0.0026296685
               21.833366                   -0.0019129203
               21.897205                   -0.0012772129
               21.961046                  -0.00071818434
               22.024887                   -0.0002312358
               22.088728                   0.00018839058
               22.152567                   0.00054554059
               22.216408                   0.00084508467
               22.280249                    0.0010918623
               22.344088                    0.0012906326
               22.407928                    0.0014460331
               22.471769                    0.0015625437
               22.535608                     0.001644458
               22.599449                    0.0016958597
                22.66329                    0.0017206045
               22.727129                    0.0017223073
                22.79097                    0.0017043336
               22.854811                    0.0016697943
                22.91865                    0.0016215456
               22.982491                    0.0015621905
               23.046331                    0.0014940838
                23.11017                    0.0014193391
               23.174011                    0.0013398383
               23.237852                    0.0012572416
               23.301691                    0.0011729996
               23.365532                    0.0010883661
               23.429373                    0.0010044117
               23.493212                   0.00092203653
               23.557053                    0.0008419854
               23.620893                   0.00076486083
               23.684732                   0.00069113704
               23.748573                   0.00062117318
               23.812414                     0.000555226
               23.876253                   0.00049346231
               23.940094                   0.00043597032
               24.003935                   0.00038277073
               24.067776                   0.00033382676
               24.131615                   0.00028905351
               24.195456                   0.00024832651
               24.259296                   0.00021148958
               24.323135                   0.00017836182
               24.386976                   0.00014874383
               24.450817                   0.00012242331
               24.514656                   9.9179953e-05
               24.578497                   7.8789541e-05
               24.642338                   6.1027655e-05
               24.706177                   4.5672667e-05
               24.770018                   3.2508247e-05
               24.833858                   2.1325444e-05
               24.897697                    1.192426e-05
               24.961538                   4.1149019e-06
               25.025379                  -2.2813281e-06
               25.089218                  -7.4314421e-06
               25.153059                  -1.1490438e-05
                 25.2169                  -1.4601183e-05
               25.280739                  -1.6894504e-05
                25.34458                  -1.8489409e-05
