        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -7.3168394e-08
              0.15530612                   1.4747509e-06
              0.31061223                   1.6407363e-06
              0.46591836                    1.799649e-06
              0.62122446                   1.9478209e-06
              0.77653056                   2.0905802e-06
              0.93183672                   2.2148588e-06
               1.0871428                   2.3107691e-06
               1.2424489                   2.3731366e-06
                1.397755                   2.3925629e-06
               1.5530611                   2.3495661e-06
               1.7083673                   2.2409913e-06
               1.8636734                    2.045241e-06
               2.0189793                   1.7486464e-06
               2.1742857                   1.3356256e-06
               2.3295918                   7.8473107e-07
               2.4848979                   7.8796603e-08
                2.640204                  -8.0312719e-07
               2.7955101                  -1.8796087e-06
               2.9508162                  -3.1753505e-06
               3.1061223                  -4.7048911e-06
               3.2614284                  -6.4914384e-06
               3.4167347                  -8.5496777e-06
               3.5720406                   -1.089522e-05
               3.7273469                  -1.3536538e-05
               3.8826528                  -1.6483489e-05
               4.0379586                  -1.9731981e-05
               4.1932654                  -2.3279392e-05
               4.3485713                  -2.7108983e-05
               4.5038772                  -3.1195665e-05
               4.6591835                  -3.5504017e-05
               4.8144898                  -3.9985171e-05
               4.9697957                  -4.4576125e-05
               5.1251016                  -4.9195569e-05
               5.2804079                  -5.3749147e-05
               5.4357142                  -5.8116744e-05
               5.5910201                  -6.2166087e-05
               5.7463264                  -6.5735592e-05
               5.9016323                  -6.8645575e-05
               6.0569386                  -7.0691982e-05
               6.2122445                  -7.1650036e-05
               6.3675508                  -7.1266972e-05
               6.5228567                   -6.927349e-05
               6.6781631                  -6.5377455e-05
               6.8334694                  -5.9268812e-05
               6.9887753                  -5.0623268e-05
               7.1440811                  -3.9106639e-05
               7.2993875                   -2.437747e-05
               7.4546938                  -6.0952539e-06
               7.6099997                   1.6071717e-05
               7.7653055                   4.2439777e-05
               7.9206119                    7.329823e-05
               8.0759172                   0.00010890151
                8.231225                   0.00014945424
               8.3865309                   0.00019509836
               8.5418367                   0.00024589864
               8.6971426                   0.00030183073
               8.8524485                   0.00036276161
               9.0077543                   0.00042843301
               9.1630602                   0.00049844611
                9.318367                   0.00057224464
               9.4736738                   0.00064909668
               9.6289797                   0.00072807993
               9.7842855                   0.00080806669
               9.9395914                   0.00088771054
               10.094897                   0.00096543418
