        Time / ns                i1 (13)/real
----------------------------------------------------------------------
                       0                  -3.5757921e-09
             0.054720331                   1.4663344e-06
              0.10944066                   1.6247585e-06
                0.164161                   1.7932924e-06
              0.21888132                   1.9714862e-06
              0.27360165                   2.1586343e-06
              0.32832199                   2.3537309e-06
              0.38304231                    2.555422e-06
              0.43776265                   2.7619499e-06
              0.49248299                   2.9710964e-06
               0.5472033                   3.1801173e-06
              0.60192364                   3.3856747e-06
              0.65664399                   3.5837616e-06
              0.71136427                   3.7696218e-06
              0.76608461                   3.9376669e-06
              0.82080495                   4.0813852e-06
               0.8755253                   4.1932499e-06
              0.93024564                    4.264617e-06
              0.98496598                   4.2856295e-06
               1.0396863                   4.2451093e-06
               1.0944066                   4.1304529e-06
               1.1491269                    3.927526e-06
               1.2038473                   3.6205579e-06
               1.2585676                    3.192039e-06
                1.313288                   2.6226226e-06
               1.3680083                   1.8910338e-06
               1.4227285                   9.7398663e-07
               1.4774489                  -1.5388693e-07
               1.5321692                  -1.5200931e-06
               1.5868896                  -3.1543138e-06
               1.6416099                  -5.0884232e-06
               1.6963302                  -7.3564784e-06
               1.7510506                  -9.9946774e-06
               1.8057709                  -1.3041285e-05
               1.8604913                  -1.6536516e-05
               1.9152116                  -2.0522375e-05
                1.969932                  -2.5042444e-05
               2.0246522                  -3.0141604e-05
               2.0793726                  -3.5865713e-05
               2.1340928                  -4.2261188e-05
               2.1888132                  -4.9374528e-05
               2.2435336                  -5.7251749e-05
               2.2982538                  -6.5937718e-05
               2.3529742                    -7.54754e-05
               2.4076946                  -8.5905005e-05
                2.462415                     -9.7263e-05
               2.5171351                  -0.00010958102
               2.5718555                  -0.00012288468
               2.6265759                  -0.00013719221
               2.6812961                  -0.00015251295
               2.7360165                  -0.00016884583
               2.7907369                  -0.00018617754
               2.8454571                  -0.00020448065
               2.9001775                  -0.00022371163
               2.9548979                  -0.00024380867
               3.0096183                  -0.00026468936
               3.0643384                  -0.00028624831
               3.1190588                  -0.00030835456
               3.1737792                  -0.00033084909
               3.2284994                  -0.00035354187
               3.2832198                  -0.00037620921
               3.3379402                  -0.00039859099
               3.3926604                  -0.00042038751
               3.4473808                  -0.00044125694
               3.5021012                  -0.00046081227
               3.5568216                  -0.00047861857
               3.6115417                  -0.00049419049
               3.6662621                   -0.0005069896
               3.7209826                  -0.00051642215
               3.7757027                  -0.00052183704
               3.8304231                  -0.00052252429
               3.8851435                  -0.00051771337
               3.9398639                  -0.00050657272
               3.9945841                  -0.00048820901
               4.0493045                  -0.00046166778
               4.1040249                  -0.00042593395
               4.1587453                   -0.0003799338
               4.2134657                  -0.00032253729
               4.2681856                  -0.00025256153
                4.322906                  -0.00016877512
               4.3776264                  -6.9903683e-05
               4.4323468                   4.5363508e-05
               4.4870672                   0.00017836565
               4.5417876                   0.00033046122
               4.5965075                   0.00050301733
                4.651228                   0.00069739786
               4.7059484                   0.00091494957
               4.7606688                    0.0011569874
               4.8153892                    0.0014247773
