        Time / ns                i1 (6)/real
----------------------------------------------------------------------
                       0                  -3.5780658e-09
             0.040086679                   1.4257098e-06
             0.080173358                   1.5387459e-06
              0.12026004                   1.6572883e-06
              0.16034672                   1.7812235e-06
              0.20043339                   1.9103677e-06
              0.24052007                   2.0444697e-06
              0.28060675                   2.1831891e-06
              0.32069343                   2.3261002e-06
              0.36078012                   2.4726726e-06
              0.40086678                   2.6222606e-06
              0.44095346                   2.7740966e-06
              0.48104015                   2.9272685e-06
              0.52112681                   3.0807207e-06
              0.56121349                   3.2332227e-06
              0.60130018                   3.3833651e-06
              0.64138687                     3.52954e-06
              0.68147355                   3.6699246e-06
              0.72156024                   3.8024643e-06
              0.76164693                   3.9248498e-06
              0.80173355                   4.0345039e-06
              0.84182024                   4.1285589e-06
              0.88190693                   4.2038355e-06
              0.92199361                   4.2568217e-06
               0.9620803                   4.2836527e-06
                1.002167                   4.2800893e-06
               1.0422536                   4.2414922e-06
               1.0823404                   4.1628041e-06
                1.122427                   4.0385235e-06
               1.1625137                   3.8626854e-06
               1.2026004                   3.6288391e-06
                1.242687                    3.330023e-06
               1.2827737                   2.9587502e-06
               1.3228604                   2.5069828e-06
               1.3629471                   1.9661184e-06
               1.4030337                   1.3269708e-06
               1.4431205                   5.7975461e-07
               1.4832071                  -2.8592484e-07
               1.5232939                  -1.2810849e-06
               1.5633805                  -2.4173696e-06
               1.6034671                  -3.7070554e-06
               1.6435539                  -5.1630491e-06
               1.6836405                  -6.7988858e-06
               1.7237272                  -8.6287164e-06
               1.7638139                  -1.0667294e-05
               1.8039006                  -1.2929952e-05
               1.8439872                  -1.5432581e-05
               1.8840739                  -1.8191582e-05
               1.9241606                  -2.1223841e-05
               1.9642472                  -2.4546658e-05
                2.004334                  -2.8177703e-05
               2.0444207                  -3.2134936e-05
               2.0845072                  -3.6436522e-05
                2.124594                   -4.110075e-05
               2.1646807                  -4.6145917e-05
               2.2047672                   -5.159021e-05
                2.244854                   -5.745158e-05
               2.2849407                  -6.3747582e-05
               2.3250275                  -7.0495233e-05
                2.365114                  -7.7710814e-05
               2.4052007                  -8.5409665e-05
               2.4452875                   -9.360601e-05
                2.485374                  -0.00010231268
               2.5254607                  -0.00011154091
               2.5655475                  -0.00012130001
               2.6056342                  -0.00013159713
               2.6457207                  -0.00014243691
               2.6858075                  -0.00015382115
               2.7258942                  -0.00016574851
                2.765981                  -0.00017821403
               2.8060675                  -0.00019120885
               2.8461542                  -0.00020471972
                2.886241                  -0.00021872856
               2.9263275                  -0.00023321205
               2.9664142                  -0.00024814109
                3.006501                  -0.00026348032
               3.0465877                  -0.00027918766
               3.0866742                  -0.00029521369
                3.126761                  -0.00031150112
               3.1668477                  -0.00032798422
               3.2069342                   -0.0003445883
                3.247021                  -0.00036122906
               3.2871077                  -0.00037781196
               3.3271945                  -0.00039423167
                3.367281                  -0.00041037152
               3.4073677                  -0.00042610275
               3.4474545                  -0.00044128401
                3.487541                  -0.00045576075
               3.5276277                  -0.00046936455
               3.5677145                  -0.00048191275
               3.6078012                  -0.00049320771
               3.6478877                  -0.00050303648
               3.6879745                  -0.00051117007
               3.7280612                  -0.00051736325
               3.7681477                  -0.00052135403
               3.8082345                  -0.00052286341
               3.8483212                  -0.00052159501
               3.8884079                   -0.0005172349
               3.9284945                  -0.00050945143
               3.9685812                  -0.00049789523
               4.0086679                  -0.00048219922
               4.0487547                  -0.00046197869
               4.0888414                   -0.0004368317
               4.1289277                  -0.00040633933
               4.1690145                  -0.00037006618
               4.2091012                  -0.00032756108
               4.2491879                  -0.00027835777
               4.2892747                   -0.0002219759
               4.3293614                   -0.0001579222
               4.3694482                  -8.5691616e-05
               4.4095345                  -4.7688418e-06
               4.4496212                   8.5369982e-05
               4.4897079                   0.00018525546
               4.5297947                   0.00029542288
               4.5698814                   0.00041640986
               4.6099682                   0.00054875395
               4.6500549                   0.00069298974
               4.6901412                   0.00084964599
               4.7302279                    0.0010192423
               4.7703147                     0.001202286
               4.8104014                    0.0013992677
               4.8504882                     0.001610658
               4.8905749                     0.001836903
               4.9306617                    0.0020784198
               4.9707479                    0.0023355917
               5.0108347                    0.0026087638
               5.0509214                    0.0028982365
               5.0910082                    0.0032042614
               5.1310949                    0.0035270352
               5.1711817                    0.0038666932
               5.2112684                    0.0042233039
               5.2513547                    0.0045968629
               5.2914414                     0.004987285
               5.3315282                    0.0053944001
               5.3716149                    0.0058179437
               5.4117017                    0.0062575522
               5.4517884                    0.0067127543
               5.4918752                     0.007182966
