        Time / ns                i1 (Mesh Pass=5)/real
               14.647653                     -0.93147779
               14.716745                     -0.92382437
               14.785838                     -0.91062188
               14.854931                     -0.89207512
               14.924024                     -0.86843163
               14.993116                     -0.83997858
               15.062209                     -0.80703896
               15.131302                     -0.76996797
               15.200394                     -0.72914851
               15.269486                     -0.68498695
               15.338579                      -0.6379087
               15.407672                      -0.5883531
               15.476765                     -0.53676927
               15.545857                     -0.48361108
                15.61495                     -0.42933246
               15.684043                      -0.3743833
               15.753136                     -0.31920478
               15.822228                     -0.26422536
               15.891321                     -0.20985715
               15.960414                     -0.15649207
               16.029507                     -0.10449894
               16.098598                    -0.054220494
               16.167692                   -0.0059710126
               16.236784                     0.039965734
               16.305878                     0.083338119
               16.374969                      0.12392787
               16.444063                      0.16155085
               16.513155                      0.19605745
               16.582249                      0.22733265
                16.65134                      0.25529552
               16.720434                      0.27989849
               16.789526                      0.30112648
                16.85862                      0.31899515
               16.927711                      0.33354953
               16.996805                      0.34486198
               17.065897                      0.35303017
               17.134991                      0.35817462
               17.204082                      0.36043647
               17.273174                      0.35997471
               17.342268                       0.3569639
                17.41136                      0.35159126
               17.480453                      0.34405416
               17.549545                      0.33455756
               17.618639                      0.32331139
               17.687731                      0.31052819
               17.756824                      0.29642078
               17.825916                      0.28120005
                17.89501                      0.26507297
               17.964102                      0.24824063
               18.033195                      0.23089674
               18.102287                      0.21322595
               18.171381                      0.19540271
               18.240473                      0.17759013
               18.309566                      0.15993911
               18.378658                      0.14258762
               18.447752                      0.12566023
               18.516844                      0.10926785
               18.585936                     0.093507521
               18.655029                     0.078462511
               18.724121                     0.064202487
               18.793215                      0.05078385
               18.862307                     0.038250186
                 18.9314                     0.026632857
               19.000492                     0.015951646
               19.069586                    0.0062155188
               19.138678                   -0.0025765817
               19.207771                    -0.010434862
               19.276863                    -0.017377792
               19.345957                    -0.023431186
               19.415049                    -0.028627275
               19.484142                    -0.033003796
               19.553234                    -0.036603086
               19.622328                    -0.039471205
                19.69142                    -0.041657083
               19.760513                    -0.043211736
               19.829605                    -0.044187494
               19.898697                    -0.044637322
               19.967791                    -0.044614159
               20.036882                    -0.044170346
               20.105976                    -0.043357112
               20.175068                    -0.042224109
               20.244162                    -0.040819027
               20.313253                    -0.039187249
               20.382347                    -0.037371602
               20.451439                    -0.035412136
               20.520533                    -0.033345956
               20.589624                    -0.031207133
               20.658718                    -0.029026631
                20.72781                    -0.026832303
               20.796904                    -0.024648914
               20.865995                    -0.022498198
               20.935089                     -0.02039895
               21.004181                    -0.018367145
               21.073275                    -0.016416073
               21.142366                    -0.014556497
               21.211458                    -0.012796825
               21.280552                    -0.011143285
               21.349644                   -0.0096001178
               21.418737                   -0.0081697619
               21.487829                   -0.0068530459
               21.556923                   -0.0056493771
               21.626015                   -0.0045569232
               21.695108                   -0.0035727923
                 21.7642                   -0.0026931996
               21.833294                   -0.0019136298
               21.902386                   -0.0012289851
               21.971479                   -0.0006337245
               22.040571                  -0.00012199034
               22.109665                   0.00031227642
               22.178757                   0.00067523378
                22.24785                   0.00097304769
               22.316942                     0.001211813
               22.386036                    0.0013974851
               22.455128                    0.0015358242
                22.52422                    0.0016323468
               22.593313                      0.00169229
               22.662405                     0.001720582
               22.731499                    0.0017218223
               22.800591                    0.0017002682
               22.869684                    0.0016598282
               22.938776                    0.0016040611
                23.00787                    0.0015361799
               23.076962                    0.0014590599
               23.146055                    0.0013752505
               23.215147                    0.0012869897
               23.284241                    0.0011962201
               23.353333                    0.0011046086
               23.422426                     0.001013565
               23.491518                   0.00092426233
               23.560612                   0.00083765807
               23.629704                   0.00075451407
               23.698797                   0.00067541719
               23.767889                    0.0006007987
               23.836981                   0.00053095329
               23.906075                   0.00046605713
               23.975166                   0.00040618432
                24.04426                   0.00035132296
               24.113352                    0.0003013894
               24.182446                   0.00025624147
               24.251537                    0.0002156905
               24.320631                   0.00017951192
               24.389723                   0.00014745482
               24.458817                   0.00011925026
               24.527908                   9.4618452e-05
               24.597002                   7.3274983e-05
               24.666094                   5.4935987e-05
               24.735188                   3.9322458e-05
               24.804279                   2.6163763e-05
               24.873373                   1.5200404e-05
               24.942465                   6.1861297e-06
               25.011559                  -1.1105369e-06
                25.08065                  -6.9052694e-06
               25.149742                  -1.1397345e-05
               25.218836                  -1.4769429e-05
               25.287928                  -1.7187664e-05
               25.357021                  -1.8802008e-05
               25.426113                  -1.9746793e-05
               25.495207                  -2.0141428e-05
               25.564299                  -2.0091222e-05
               25.633392                  -1.9688308e-05
               25.702484                  -1.9012599e-05
               25.771578                   -1.813277e-05
                25.84067                  -1.7107279e-05
               25.909763                  -1.5985326e-05
               25.978855                  -1.4807822e-05
               26.047949                  -1.3608321e-05
               26.117041                  -1.2413861e-05
               26.186134                  -1.1245801e-05
               26.255226                  -1.0120571e-05
                26.32432                  -9.0503736e-06
               26.393412                  -8.0438167e-06
               26.462503                  -7.1064906e-06
               26.531597                  -6.2414788e-06
               26.600689                  -5.4498259e-06
               26.669783                  -4.7309236e-06
               26.738874                  -4.0828854e-06
               26.807968                  -3.5028283e-06
                26.87706                  -2.9871521e-06
               26.946154                  -2.5317527e-06
               27.015245                  -2.1322044e-06
               27.084339                   -1.783922e-06
               27.153431                  -1.4822738e-06
               27.222525                  -1.2226941e-06
               27.291616                  -1.0007512e-06
                27.36071                  -8.1220696e-07
               27.429802                  -6.5307256e-07
               27.498896                  -5.1961939e-07
               27.567987                  -4.0840834e-07
               27.637081                  -3.1630501e-07
               27.706173                  -2.4045244e-07
               27.775265                  -1.7831117e-07
               27.844358                  -1.2760576e-07
                27.91345                  -8.6345722e-08
               27.982544                  -5.2788231e-08
               28.051636                  -2.5435861e-08
               28.120729                  -3.0037253e-09
               28.189821                   1.5580859e-08
               28.258915                   3.1210647e-08
               28.328007                   4.4617362e-08
                 28.3971                   5.6373558e-08
               28.466192                   6.6936082e-08
               28.535286                   7.6635018e-08
               28.604378                   8.5709885e-08
               28.673471                   9.4311801e-08
               28.742563                   1.0252048e-07
               28.811657                   1.1035532e-07
               28.880749                   1.1779375e-07
               28.949842                    1.247748e-07
               29.018934                    1.312042e-07
               29.088026                   1.3697131e-07
                29.15712                   1.4195578e-07
               29.226212                   1.4603069e-07
               29.295305                   1.4907026e-07
               29.364397                   1.5095561e-07
               29.433491                   1.5157377e-07
               29.502583                   1.5083279e-07
               29.571676                   1.4865176e-07
               29.640768                   1.4497925e-07
               29.709862                   1.3977227e-07
               29.778954                   1.3302015e-07
               29.848047                   1.2473436e-07
               29.917139                   1.1495032e-07
               29.986233                   1.0372796e-07
               30.055325                   9.1147164e-08
               30.124418                    7.731559e-08
                30.19351                   6.2358858e-08
               30.262604                   4.6422723e-08
               30.331696                   2.9665587e-08
               30.400787                   1.2272359e-08
               30.469881                  -5.5734652e-09
               30.538973                  -2.3668337e-08
               30.608067                  -4.1808555e-08
               30.677158                  -5.9781343e-08
               30.746252                  -7.7377436e-08
               30.815344                  -9.4383083e-08
               30.884438                  -1.1059568e-07
               30.953529                  -1.2582055e-07
               31.022623                  -1.3986508e-07
               31.091715                  -1.5256029e-07
               31.160809                  -1.6374327e-07
                 31.2299                  -1.7327781e-07
               31.298994                  -1.8103721e-07
               31.368086                  -1.8692334e-07
                31.43718                  -1.9085871e-07
               31.506271                  -1.9278571e-07
               31.575365                  -1.9267283e-07
               31.644457                  -1.9051245e-07
               31.713549                  -1.8632203e-07
               31.782642                  -1.8014376e-07
               31.851734                  -1.7203917e-07
               31.920828                  -1.6209971e-07
                31.98992                  -1.5042599e-07
               32.059013                  -1.3714563e-07
               32.128105                  -1.2240415e-07
               32.197197                    -1.06366e-07
               32.266293                  -8.9198664e-08
               32.335384                  -7.1092344e-08
               32.404476                  -5.2237969e-08
               32.473568                  -3.2835203e-08
               32.542664                  -1.3093026e-08
               32.611755                   6.7847137e-09
               32.680847                   2.6591369e-08
               32.749939                   4.6127202e-08
               32.819035                   6.5192552e-08
               32.888126                   8.3604228e-08
               32.957218                   1.0117977e-07
                33.02631                   1.1775638e-07
               33.095402                   1.3317805e-07
               33.164497                   1.4730431e-07
               33.233589                   1.6001619e-07
               33.302681                   1.7121232e-07
               33.371773                    1.808027e-07
               33.440868                   1.8871616e-07
                33.50996                   1.9490349e-07
               33.579052                   1.9933431e-07
               33.648144                   2.0199818e-07
               33.717239                    2.028936e-07
               33.786331                   2.0204342e-07
               33.855423                   1.9948793e-07
               33.924515                   1.9528034e-07
                33.99361                   1.8948768e-07
               34.062702                   1.8219205e-07
               34.131794                   1.7348111e-07
               34.200886                   1.6346816e-07
               34.269981                   1.5225326e-07
               34.339073                   1.3996123e-07
               34.408165                   1.2671815e-07
               34.477257                   1.1265011e-07
               34.546349                   9.7888027e-08
               34.615444                   8.2566793e-08
               34.684536                   6.6819112e-08
               34.753628                   5.0771337e-08
                34.82272                   3.4565485e-08
               34.891815                   1.8316326e-08
               34.960907                   2.1522639e-09
               35.029999                   -1.381561e-08
               35.099091                  -2.9474363e-08
               35.168186                  -4.4720341e-08
               35.237278                  -5.9453157e-08
