        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
51.23718172                     -0.41189056
52.74415765                     -0.50680836
54.25113359                     -0.62001870
55.75810952                     -0.79482962
57.26508545                     -1.02016136
58.77206139                     -1.31389267
60.27903732                     -1.66536431
61.78601325                     -2.02944969
63.29298919                     -2.36439196
64.79996512                     -2.62287992
66.30694105                     -2.82159330
67.81391698                     -3.03417337
69.32089292                     -3.34748157
70.82786885                     -3.87771185
72.33484478                     -4.76775718
73.84182072                     -6.23318002
75.34879665                     -8.64867996
76.85577258                     -12.70809431
78.36274852                     -19.60018128
79.86972445                     -19.24555394
81.37670038                     -13.73070295
82.88367631                     -10.70623722
84.39065225                     -8.92963064
85.89762818                     -7.80112434
87.40460411                     -7.05332593
88.91158005                     -6.55243030
90.41855598                     -6.22992190
91.92553191                     -6.06257828
93.43250785                     -6.04017417
94.93948378                     -6.16634760
96.44645971                     -6.43912229
97.95343564                     -6.83645464
99.46041158                     -7.28777785
100.96738751                     -7.62291298
102.47436344                     -7.59922850
103.98133938                     -7.08923134
105.48831531                     -6.26337555
106.99529124                     -5.43000359
108.50226718                     -4.78385339
110.00924311                     -4.37989852
111.51621904                     -4.19272347
113.02319497                     -4.14845875
114.53017091                     -4.18242447
116.03714684                     -4.30163250
117.54412277                     -4.57804312
119.05109871                     -5.08865198
120.55807464                     -5.93132302
122.06505057                     -7.28261867
123.57202651                     -9.43928727
125.07900244                     -12.73087869
126.58597837                     -14.97684924
128.09295430                     -11.56033288
129.59993024                     -7.79179893
131.10690617                     -5.25699944
132.61388210                     -3.57576023
134.12085804                     -2.44345919
135.62783397                     -1.67973657
137.13480990                     -1.18586894
138.64178584                     -0.92386906
140.14876177                     -0.89885282
141.65573770                     -1.25006612
143.16271363                     -1.79848834
144.66968957                     -1.98395086
146.17666550                     -1.94124182
147.68364143                     -1.99685549
149.19061737                     -2.15985880
