        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
51.23718172                     -112.54482151
52.74415765                     -122.51559488
54.25113359                     -134.17044402
55.75810952                     -147.86406661
57.26508545                     -163.96627863
58.77206139                     177.00431705
60.27903732                     154.92607449
61.78601325                     129.91677539
63.29298919                     102.85657306
64.79996512                     75.23838663
66.30694105                     48.45308110
67.81391698                     23.37320585
69.32089292                     0.02774418
70.82786885                     -22.13345403
72.33484478                     -43.85859069
73.84182072                     -66.09257819
75.34879665                     -89.98325361
76.85577258                     -118.38514205
78.36274852                     -168.42192561
79.86972445                     92.09807652
81.37670038                     51.06307999
82.88367631                     29.65380443
84.39065225                     13.80925544
85.89762818                     0.55709967
87.40460411                     -11.35687568
88.91158005                     -22.63958582
90.41855598                     -33.87567900
91.92553191                     -45.53076477
93.43250785                     -58.04276127
94.93948378                     -71.90813033
96.44645971                     -87.69959659
97.95343564                     -106.19632489
99.46041158                     -128.27541775
100.96738751                     -154.54912660
102.47436344                     175.62008176
103.98133938                     144.81597797
105.48831531                     116.07800741
106.99529124                     91.01084592
108.50226718                     69.79990885
110.00924311                     52.01926559
111.51621904                     37.19117203
113.02319497                     24.79053388
114.53017091                     14.04996285
116.03714684                     4.14688835
117.54412277                     -5.35958789
119.05109871                     -14.50845532
120.55807464                     -23.20893958
122.06505057                     -30.92165729
123.57202651                     -35.74689156
125.07900244                     -30.74197081
126.58597837                     0.49667155
128.09295430                     27.90694492
129.59993024                     29.91748876
131.10690617                     23.28193437
132.61388210                     14.35260176
134.12085804                     4.89025864
135.62783397                     -4.52285438
137.13480990                     -13.84159950
138.64178584                     -23.02644369
140.14876177                     -32.24288435
141.65573770                     -40.75510782
143.16271363                     -46.10629654
144.66968957                     -49.43677522
146.17666550                     -54.29969190
147.68364143                     -60.25960081
149.19061737                     -66.69761863
