        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
51.15099132                     -0.78684854
52.57185219                     -1.79206652
53.99271306                     -3.15157256
55.41357393                     -3.03680460
56.83443480                     -2.46075042
58.25529567                     -2.31649131
59.67615654                     -2.34538872
61.09701741                     -2.50557409
62.51787828                     -2.70494541
63.93873915                     -2.85442319
65.35960002                     -2.94063545
66.78046089                     -2.93332640
68.20132176                     -2.88946597
69.62218263                     -2.88972309
71.04304350                     -3.01194511
72.46390437                     -3.40261510
73.88476524                     -4.26746551
75.30562611                     -6.00981457
76.72648698                     -9.45709073
78.14734785                     -16.49779770
79.56820872                     -18.92443199
80.98906959                     -12.12285005
82.40993046                     -8.97909920
83.83079133                     -7.34605660
85.25165220                     -6.43665677
86.67251307                     -5.89904386
88.09337394                     -5.57358345
89.51423481                     -5.37632941
90.93509568                     -5.28208958
92.35595655                     -5.31355670
93.77681742                     -5.49367414
95.19767829                     -5.83631344
96.61853916                     -6.26163061
98.03940003                     -6.54197070
99.46026090                     -6.46997019
100.88112177                     -6.16291753
102.30198264                     -5.92726833
103.72284351                     -5.94142970
105.14370438                     -6.23778362
106.56456525                     -6.82354062
107.98542612                     -7.75000911
109.40628699                     -9.15455932
110.82714786                     -11.40572873
112.24800873                     -15.33299584
113.66886960                     -21.39616263
115.08973047                     -15.82954118
116.51059134                     -9.95636590
117.93145221                     -6.50985868
119.35231308                     -4.43508756
120.77317395                     -3.18464950
122.19403481                     -2.45579250
123.61489568                     -2.07891380
125.03575655                     -1.95221804
126.45661742                     -2.06533281
127.87747829                     -2.42380020
129.29833916                     -3.17482973
130.71920003                     -4.66159638
132.14006090                     -7.88129530
133.56092177                     -13.04105313
134.98178264                     -6.87658362
136.40264351                     -2.69975499
137.82350438                     -1.20393069
139.24436525                     -0.84019710
140.66522612                     -1.10305034
142.08608699                     -1.80251998
143.50694786                     -2.54726238
144.92780873                     -2.93166404
146.34866960                     -2.81874229
147.76953047                     -2.56673244
149.19039134                     -2.33526836
