        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
50.56152787                     -0.30112035
51.41850292                     -0.32631548
52.27547797                     -0.37461875
53.13245302                     -0.42307391
53.98942806                     -0.49623277
54.84640311                     -0.58502185
55.70337816                     -0.70438337
56.56035321                     -0.86248462
57.41732826                     -1.06527081
58.27430331                     -1.33564217
59.13127836                     -1.67402381
59.98825340                     -2.10732913
60.84522845                     -2.63167213
61.70220350                     -3.25539583
62.55917855                     -3.96766898
63.41615360                     -4.75005269
64.27312865                     -5.60745157
65.13010370                     -6.54069747
65.98707874                     -7.60550340
66.84405379                     -8.87073945
67.70102884                     -10.45287005
68.55800389                     -12.54501206
69.41497894                     -15.44060998
70.27195399                     -19.70319809
71.12892904                     -24.25565706
71.98590408                     -20.91406212
72.84287913                     -16.42005238
73.69985418                     -13.37606508
74.55682923                     -11.24370196
75.41380428                     -9.68067625
76.27077933                     -8.48778245
77.12775438                     -7.56408712
77.98472943                     -6.82877978
78.84170447                     -6.24297111
79.69867952                     -5.76688146
80.55565457                     -5.38015472
81.41262962                     -5.06318219
82.26960467                     -4.80276692
83.12657972                     -4.59244977
83.98355477                     -4.42312909
84.84052981                     -4.29654138
85.69750486                     -4.20652220
86.55447991                     -4.15876745
87.41145496                     -4.15030291
88.26843001                     -4.18792467
89.12540506                     -4.27210868
89.98238011                     -4.40777070
90.83935515                     -4.60156180
91.69633020                     -4.85569908
92.55330525                     -5.17604925
93.41028030                     -5.55371462
94.26725535                     -5.97843042
95.12423040                     -6.41269866
95.98120545                     -6.80678891
96.83818050                     -7.09989121
97.69515554                     -7.24440946
98.55213059                     -7.24289164
99.40910564                     -7.12733439
100.26608069                     -6.96064035
101.12305574                     -6.79095150
101.98003079                     -6.65381540
102.83700584                     -6.57157176
103.69398088                     -6.54866411
104.55095593                     -6.59610877
105.40793098                     -6.70933240
106.26490603                     -6.89981841
107.12188108                     -7.16854313
107.97885613                     -7.53273390
108.83583118                     -8.01013197
109.69280622                     -8.63004930
110.54978127                     -9.44010226
111.40675632                     -10.49124121
112.26373137                     -11.88031199
113.12070642                     -13.73658733
113.97768147                     -16.42240017
114.83465652                     -20.88802571
115.69163156                     -32.78239181
116.54860661                     -25.63660058
117.40558166                     -17.63418517
118.26255671                     -13.42286436
119.11953176                     -10.60462673
119.97650681                     -8.53450213
120.83348186                     -6.96870338
121.69045691                     -5.74400384
122.54743195                     -4.79209456
123.40440700                     -4.03464112
124.26138205                     -3.44257507
125.11835710                     -2.97356794
125.97533215                     -2.60816979
126.83230720                     -2.32899646
127.68928225                     -2.11449556
128.54625729                     -1.96869269
129.40323234                     -1.86308359
130.26020739                     -1.82176178
131.11718244                     -1.80950758
131.97415749                     -1.86983192
132.83113254                     -1.96785124
133.68810759                     -2.16980961
134.54508263                     -2.46790711
135.40205768                     -2.98798507
136.25903273                     -3.87862418
137.11600778                     -5.52604219
137.97298283                     -6.58800638
138.82995788                     -3.36138917
139.68693293                     -1.47184833
140.54390798                     -1.24037197
141.40088302                     -1.32331537
142.25785807                     -1.61669830
143.11483312                     -1.90605202
143.97180817                     -2.28567051
144.82878322                     -2.67300049
145.68575827                     -3.10679046
146.54273332                     -3.55216020
147.39970836                     -3.96914914
148.25668341                     -4.36727710
149.11365846                     -4.65422106
149.97063351                     -4.91643445
150.82760856                     -5.04690520
