        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
50.04404243                     -0.29709645
51.47387222                     -0.35059498
52.90370200                     -0.46194415
54.33353178                     -0.66288891
55.76336157                     -1.09188739
57.19319135                     -2.01078842
58.62302113                     -4.01145634
60.05285092                     -8.05325151
61.48268070                     -16.06845546
62.91251049                     -26.46294197
64.34234027                     -16.05732118
65.77217005                     -12.31013195
67.20199984                     -10.10454591
68.63182962                     -8.47204165
70.06165940                     -7.17404177
71.49148919                     -6.15501250
72.92131897                     -5.35328888
74.35114876                     -4.72511181
75.78097854                     -4.22573144
77.21080832                     -3.82658821
78.64063811                     -3.52807134
80.07046789                     -3.33649090
81.50029767                     -3.27510751
82.93012746                     -3.37282614
84.35995724                     -3.68331315
85.78978703                     -4.30026053
87.21961681                     -5.35608587
88.64944659                     -6.98011358
90.07927638                     -9.03014898
91.50910616                     -10.58781403
92.93893594                     -10.61953059
94.36876573                     -9.75294666
95.79859551                     -8.92561293
97.22842530                     -8.41752190
98.65825508                     -8.23228906
100.08808486                     -8.33857914
101.51791465                     -8.71838820
102.94774443                     -9.38571687
104.37757421                     -10.37826676
105.80740400                     -11.65153684
107.23723378                     -12.73506374
108.66706357                     -12.40302242
110.09689335                     -10.39705518
111.52672313                     -8.04898569
112.95655292                     -6.11061886
114.38638270                     -4.68753833
115.81621248                     -3.71688218
117.24604227                     -3.10851128
118.67587205                     -2.78267041
120.10570184                     -2.68211595
121.53553162                     -2.77778104
122.96536140                     -3.07835500
124.39519119                     -3.63429822
125.82502097                     -4.56476093
127.25485075                     -6.09463618
128.68468054                     -8.60168829
130.11451032                     -11.98594880
131.54434011                     -11.23372925
132.97416989                     -6.92924283
134.40399967                     -3.93493608
135.83382946                     -2.22228995
137.26365924                     -1.30356047
138.69348902                     -0.89780675
140.12331881                     -0.90558493
141.55314859                     -1.31663257
142.98297838                     -1.95697662
144.41280816                     -2.36533395
145.84263794                     -2.36460689
147.27246773                     -2.24178825
148.70229751                     -2.22636363
