Time (ns)	Input signal	Output signal
17.8	-0.481738079	-0.003468445
17.9	-0.396872038	-0.003748998
18	-0.308333797	-0.00414422
18.1	-0.21714445	-0.004255797
18.2	-0.12435657	-0.004538696
18.3	-0.031038739	-0.004655433
18.4	0.061740577	-0.004719514
18.5	0.152928077	-0.004932588
18.6	0.241500594	-0.004609536
18.7	0.326480796	-0.004548377
18.8	0.406949566	-0.004137919
18.9	0.482056903	-0.003647729
19	0.55103704	-0.003288558
19.1	0.61321568	-0.002195438
19.2	0.668018216	-0.001407178
19.3	0.714976617	-0.000151572
19.4	0.753734302	0.001207541
19.5	0.784049616	0.00253463
19.6	0.805795268	0.004621174
19.7	0.818957231	0.006480666
19.8	0.82363347	0.008848246
19.9	0.8200304	0.011301453
20	0.808454903	0.013786258
20.1	0.789306954	0.016953497
20.2	0.763071723	0.019943229
20.3	0.73031122	0.023274539
20.4	0.691651557	0.026587373
20.5	0.647772054	0.030171346
20.6	0.599394251	0.033576429
20.7	0.547269792	0.037132546
20.8	0.492168116	0.04061243
20.9	0.434864843	0.043814105
21	0.376129936	0.047395712
21.1	0.316716696	0.049663328
21.2	0.257352807	0.052373039
21.3	0.1987294	0.054223208
21.4	0.141493863	0.055482105
21.5	0.086242763	0.05692846
21.6	0.033514031	0.05600635
21.7	-0.016216439	0.055374566
21.8	-0.062538605	0.053087544
21.9	-0.105110437	0.049751195
22	-0.143659014	0.04609189
22.1	-0.177982733	0.039112764
22.2	-0.207947905	0.032232186
22.3	-0.233486593	0.02288992
22.4	-0.254594136	0.012232622
22.5	-0.271325764	0.000639301
22.6	-0.283791972	-0.014414736
22.7	-0.292152625	-0.02982238
22.8	-0.296611354	-0.047987991
22.9	-0.297409772	-0.067342678
23	-0.29482189	-0.088200233
23.1	-0.28914711	-0.111566849
23.2	-0.280703844	-0.135535407
23.3	-0.269823648	-0.161501692
23.4	-0.256845612	-0.187972599
23.5	-0.242110309	-0.215510564
23.6	-0.225954596	-0.243456707
23.7	-0.208707186	-0.2719904
23.8	-0.190684404	-0.299789736
23.9	-0.172185676	-0.326568914
24	-0.153491146	-0.353263633
24.1	-0.134859118	-0.3768511
24.2	-0.116523934	-0.399291625
24.3	-0.098694346	-0.418098255
24.4	-0.081552114	-0.433394881
24.5	-0.065252495	-0.44611992
24.6	-0.049924349	-0.451248182
24.7	-0.035670119	-0.453318625
24.8	-0.02256654	-0.448120836
24.9	-0.010666424	-0.436652709
25	-4.75E-08	-0.419388934
25.1	0.009423209	-0.391214847
25.2	0.01761291	-0.357396325
25.3	0.024595636	-0.313521045
25.4	0.030412564	-0.261072838
25.5	0.035117382	-0.200831704
25.6	0.038774347	-0.128301616
25.7	0.041456004	-0.049201635
25.8	0.043241099	0.040542367
25.9	0.044212703	0.138107246
26	0.04445645	0.243053562
26.1	0.044058903	0.357641842
26.2	0.043105976	0.477383447
26.3	0.041681676	0.603950786
26.4	0.039867023	0.734224757
26.5	0.037739068	0.867753251
26.6	0.03537005	1.003787185
26.7	0.032826815	1.139553838
26.8	0.030170451	1.273416451
26.9	0.02745603	1.403868992
27	0.024732289	1.528636262
27.1	0.022041702	1.645677657
27.2	0.019420596	1.752856213
27.3	0.016899335	1.847703647
27.4	0.014502601	1.928291492
27.5	0.01224961	1.992587735
27.6	0.010154625	2.037354876
27.7	0.008227386	2.062646086
27.8	0.006473537	2.064224851
27.9	0.004894992	2.042160985
28	0.00349053	1.995628525
28.1	0.002256246	1.919436781
28.2	0.001185974	1.817803261
28.3	0.000271702	1.686067382
28.4	-0.000496032	1.526046041
28.5	-0.001127723	1.338537579
28.6	-0.001634574	1.11959844
28.7	-0.002028214	0.875976164
28.8	-0.002320418	0.604130169
28.9	-0.002522864	0.308329691
29	-0.002646948	-0.007455289
29.1	-0.00270363	-0.348290994
29.2	-0.002703288	-0.702169491
29.3	-0.002655618	-1.071998856
29.4	-0.002569576	-1.451757785
29.5	-0.002453329	-1.835669267
29.6	-0.002314231	-2.224729769
29.7	-0.002158804	-2.61074941
29.8	-0.001992763	-2.989099709
29.9	-0.001821044	-3.357049286
30	-0.001647841	-3.707254286
30.1	-0.001476645	-4.037760832
30.2	-0.001310284	-4.341133572
30.3	-0.001151004	-4.614693154
30.4	-0.001000518	-4.854373458
30.5	-0.000860062	-5.053526005
30.6	-0.00073045	-5.211500568
30.7	-0.000612138	-5.322484655
30.8	-0.000505277	-5.384314509
30.9	-0.00040977	-5.394791823
31	-0.000325307	-5.351530332
31.1	-0.000251418	-5.252431764
31.2	-0.000187509	-5.098726789
31.3	-0.0001329	-4.887818063
31.4	-8.69E-05	-4.621314487
31.5	-4.86E-05	-4.303171469
31.6	-1.73E-05	-3.927466857
31.7	7.70E-06	-3.505314722
31.8	2.72E-05	-3.034590917
31.9	4.20E-05	-2.519541926
32	5.27E-05	-1.969106984
32.1	6.00E-05	-1.37830714
32.2	6.43E-05	-0.762392197
32.3	6.63E-05	-0.121905893
32.4	6.63E-05	0.537695968
32.5	6.49E-05	1.20332262
32.6	6.23E-05	1.882089234
32.7	5.88E-05	2.55378059
32.8	5.48E-05	3.217771179
32.9	5.05E-05	3.868136662
33	4.59E-05	4.492427606
33.1	4.13E-05	5.094519419
33.2	3.68E-05	5.657656026
33.3	3.25E-05	6.182299071
33.4	2.84E-05	6.662460109
33.5	2.46E-05	7.088384432
33.6	2.10E-05	7.463538381
33.7	1.78E-05	7.776876589
33.8	1.50E-05	8.028148234
33.9	1.24E-05	8.215038538
34	1.01E-05	8.333717163
34.1	8.18E-06	8.384329042
34.2	6.49E-06	8.36566786
34.3	5.04E-06	8.277580744
34.4	3.82E-06	8.120666746
34.5	2.81E-06	7.897959102
34.6	1.97E-06	7.608168613
34.7	1.29E-06	7.258190344
34.8	7.51E-07	6.847998826
34.9	3.26E-07	6.381679379
35	-8.31E-12	5.869131118
35.1	-2.43E-07	5.30363526
35.2	-4.16E-07	4.702172178
35.3	-5.33E-07	4.064792889
35.4	-6.05E-07	3.395751913
35.5	-6.41E-07	2.708196274
35.6	-6.50E-07	1.996737912
35.7	-6.38E-07	1.280168156
35.8	-6.11E-07	0.556175922
35.9	-5.73E-07	-0.167306758
36	-5.29E-07	-0.878603622
36.1	-4.81E-07	-1.5832174
36.2	-4.32E-07	-2.264239773
36.3	-3.83E-07	-2.922496571
36.4	-3.37E-07	-3.552377092
36.5	-2.92E-07	-4.144988661
36.6	-2.52E-07	-4.703644363
36.7	-2.14E-07	-5.217599251
36.8	-1.81E-07	-5.687377769
36.9	-1.51E-07	-6.110259852
37	-1.25E-07	-6.481241791
37.1	-1.02E-07	-6.802821185
37.2	-8.26E-08	-7.070456112
37.3	-6.60E-08	-7.284941182
37.4	-5.20E-08	-7.446111761
37.5	-4.03E-08	-7.554342578
37.6	-3.06E-08	-7.610111826
37.7	-2.28E-08	-7.615505409
37.8	-1.65E-08	-7.571717326
37.9	-1.14E-08	-7.480306357
38	-7.48E-09	-7.345910171
38.1	-4.44E-09	-7.167925513
38.2	-2.14E-09	-6.952843886
38.3	-4.50E-10	-6.701777496
38.4	7.54E-10	-6.417621587
38.5	1.57E-09	-6.108311227
38.6	2.09E-09	-5.769999387
38.7	2.38E-09	-5.41304981
38.8	2.50E-09	-5.037496365
38.9	2.50E-09	-4.64819332
39	2.41E-09	-4.249409281
39.1	2.26E-09	-3.842903087
39.2	2.07E-09	-3.431379401
39.3	1.87E-09	-3.017740772
39.4	1.66E-09	-2.606034669
39.5	1.45E-09	-2.200198337
39.6	1.26E-09	-1.799232924
39.7	1.08E-09	-1.407810997
39.8	9.12E-10	-1.026259379
39.9	7.65E-10	-0.655992639
40	6.36E-10	-0.299683996
40.1	5.23E-10	0.044038116
40.2	4.26E-10	0.372434963
40.3	3.43E-10	0.685915532
40.4	2.74E-10	0.984202862
40.5	2.16E-10	1.266520193
40.6	1.68E-10	1.534356032
40.7	1.30E-10	1.78642247
40.8	9.82E-11	2.024146416
40.9	7.31E-11	2.247637585
41	5.32E-11	2.457016202
41.1	3.78E-11	2.653989555
41.2	2.59E-11	2.837610361
41.3	1.68E-11	3.00995018
41.4	1.01E-11	3.170197332
41.5	5.18E-12	3.320150004
41.6	1.70E-12	3.460101611
41.7	-6.91E-13	3.588822909
41.8	-2.25E-12	3.709408959
41.9	-3.18E-12	3.82037686
42	-3.66E-12	3.920848528
42.1	-3.82E-12	4.014189046
42.2	-3.76E-12	4.097869668
42.3	-3.56E-12	4.171305073
42.4	-3.27E-12	4.235748693
42.5	-2.93E-12	4.290232615
42.6	-2.59E-12	4.334132316
42.7	-2.24E-12	4.367140149
42.8	-1.92E-12	4.389028489
42.9	-1.62E-12	4.39945901
43	-1.35E-12	4.396672269
43.1	-1.12E-12	4.380688116
43.2	-9.14E-13	4.353396954
43.3	-7.40E-13	4.309133005
43.4	-5.94E-13	4.250357617
43.5	-4.71E-13	4.179974438
43.6	-3.71E-13	4.088883936
43.7	-2.88E-13	3.986862325
43.8	-2.22E-13	3.864866039
43.9	-1.69E-13	3.726836605
44	-1.27E-13	3.580079785
44.1	-9.39E-14	3.402609781
44.2	-6.83E-14	3.222297057
44.3	-4.87E-14	3.019692
44.4	-3.39E-14	2.799815057
44.5	-2.29E-14	2.578854899
44.6	-1.47E-14	2.323032134
44.7	-8.87E-15	2.072069967
44.8	-4.73E-15	1.798726094
44.9	-1.88E-15	1.510597008
45	3.28E-19	1.223291833
45.1	1.18E-15	0.911588163
45.2	1.86E-15	0.602416562
45.3	2.19E-15	0.280760923
45.4	2.28E-15	-0.043611685
45.5	2.22E-15	-0.372371528
45.6	2.06E-15	-0.702882783
45.7	1.86E-15	-1.033760624
45.8	1.63E-15	-1.364031365
45.9	1.41E-15	-1.68741307
46	1.19E-15	-2.017615957
46.1	9.94E-16	-2.317226872
46.2	8.19E-16	-2.624147355
46.3	6.67E-16	-2.911837885
46.4	5.38E-16	-3.175424056
46.5	4.29E-16	-3.449309633
46.6	3.39E-16	-3.650767164
46.7	2.65E-16	-3.873353735
46.8	2.05E-16	-4.043136316
46.9	1.57E-16	-4.18850026
47	1.19E-16	-4.328690938
47.1	8.95E-17	-4.368575577
47.2	6.65E-17	-4.413807676
47.3	4.87E-17	-4.388133202
47.4	3.52E-17	-4.326468254
47.5	2.51E-17	-4.239041708
47.6	1.75E-17	-4.032737335
47.7	1.19E-17	-3.826178211
47.8	7.92E-18	-3.524514587
47.9	5.04E-18	-3.186829567
48	3.03E-18	-2.794361697
48.1	1.65E-18	-2.311873632
48.2	7.31E-19	-1.793213749
48.3	1.41E-19	-1.194033826
48.4	-2.17E-19	-0.55662339
48.5	-4.16E-19	0.155821283
48.6	-5.07E-19	0.890262255
48.7	-5.30E-19	1.684408269
48.8	-5.11E-19	2.510474567
48.9	-4.68E-19	3.350434288
49	-4.14E-19	4.261223979
49.1	-3.56E-19	5.082471238
49.2	-3.00E-19	5.965258705
49.3	-2.48E-19	6.790221254
49.4	-2.02E-19	7.5704809
49.5	-1.63E-19	8.369235142
49.6	-1.29E-19	8.951698402
49.7	-1.02E-19	9.5262215
49.8	-7.90E-20	9.93812912
49.9	-6.08E-20	10.22628597
50	-4.64E-20	10.43180478
50.1	-3.50E-20	10.2978062
50.2	-2.62E-20	10.09045147
50.3	-1.94E-20	9.580872201
50.4	-1.42E-20	8.870593391
50.5	-1.03E-20	7.949213155
50.6	-7.35E-21	6.640285799
50.7	-5.19E-21	5.14878536
50.8	-3.61E-21	3.298297887
50.9	-2.46E-21	1.206286913
51	-1.65E-21	-1.177590546
51.1	-1.07E-21	-3.871786453
51.2	-6.74E-22	-6.798515141
51.3	-4.03E-22	-10.0145992
51.4	-2.22E-22	-13.41838754
51.5	-1.04E-22	-17.06179324
51.6	-3.14E-23	-20.82101313
51.7	1.18E-23	-24.73404042
51.8	3.50E-23	-28.72389635
51.9	4.55E-23	-32.63450124
52	4.81E-23	-36.61610855
52.1	4.61E-23	-40.33973707
52.2	4.16E-23	-43.99910074
52.3	3.61E-23	-47.30574868
52.4	3.05E-23	-50.28571708
