        Time / ns                Port1/real
                4.057896                 -5.6334825e-018
               4.0610737                 -6.0384918e-018
               4.0642514                 -6.4718573e-018
               4.0674291                 -6.9353152e-018
               4.0706068                 -7.4306884e-018
               4.0737844                 -7.9598982e-018
               4.0769621                 -8.5249861e-018
               4.0801398                 -9.1281055e-018
               4.0833175                 -9.7715146e-018
               4.0864952                 -1.0457623e-017
               4.0896728                 -1.1188974e-017
               4.0928505                 -1.1968252e-017
               4.0960282                 -1.2798305e-017
               4.0992059                 -1.3682138e-017
               4.1023835                 -1.4622942e-017
               4.1055612                 -1.5624076e-017
               4.1087389                 -1.6689075e-017
               4.1119166                 -1.7821673e-017
               4.1150943                  -1.902583e-017
               4.1182719                 -2.0305726e-017
               4.1214496                 -2.1665756e-017
               4.1246273                 -2.3110577e-017
                4.127805                 -2.4645118e-017
               4.1309827                 -2.6274581e-017
               4.1341603                 -2.8004438e-017
                4.137338                  -2.984047e-017
               4.1405157                 -3.1788776e-017
               4.1436934                 -3.3855774e-017
               4.1468711                 -3.6048261e-017
               4.1500487                 -3.8373391e-017
               4.1532264                 -4.0838726e-017
               4.1564041                 -4.3452226e-017
               4.1595818                 -4.6222294e-017
               4.1627594                 -4.9157818e-017
               4.1659371                 -5.2268144e-017
               4.1691148                 -5.5563131e-017
               4.1722925                 -5.9053155e-017
               4.1754702                 -6.2749176e-017
               4.1786478                  -6.666277e-017
               4.1818255                 -7.0806089e-017
               4.1850032                 -7.5191969e-017
               4.1881809                 -7.9833932e-017
               4.1913586                  -8.474623e-017
               4.1945362                  -8.994385e-017
               4.1977139                 -9.5442626e-017
               4.2008916                  -1.012592e-016
               4.2040693                 -1.0741113e-016
                4.207247                 -1.1391687e-016
               4.2104246                 -1.2079592e-016
               4.2136023                 -1.2806876e-016
                 4.21678                 -1.3575697e-016
               4.2199577                 -1.4388328e-016
               4.2231353                 -1.5247166e-016
                4.226313                 -1.6154731e-016
               4.2294907                 -1.7113672e-016
               4.2326684                 -1.8126788e-016
               4.2358461                 -1.9197017e-016
               4.2390237                 -2.0327453e-016
               4.2422014                 -2.1521355e-016
               4.2453791                 -2.2782144e-016
               4.2485568                 -2.4113435e-016
               4.2549121                 -2.6755951e-016
               4.2580898                 -2.8196102e-016
               4.2612675                 -2.9752921e-016
               4.2644452                 -3.1432961e-016
               4.2676229                 -3.3242672e-016
               4.2708005                 -3.5188899e-016
               4.2739782                 -3.7278589e-016
               4.2771559                 -3.9518995e-016
               4.2803336                 -4.1918223e-016
               4.2835113                 -4.4484613e-016
               4.2866889                 -4.7227042e-016
               4.2898666                 -5.0154631e-016
               4.2930443                 -5.3276878e-016
                4.296222                 -5.6603993e-016
               4.2993996                 -6.0146781e-016
