        Time / ns                Port1/real
               3.4802313                 -2.2471034e-017
               3.4855528                 -2.4054811e-017
               3.4908742                 -2.5742171e-017
               3.5015171                 -2.9362641e-017
               3.5068386                 -3.1052157e-017
               3.5121601                 -3.2947584e-017
               3.5174815                  -3.502007e-017
                3.522803                 -3.7295741e-017
               3.5281244                 -3.9786064e-017
               3.5334459                 -4.2497683e-017
               3.5387673                 -4.5450308e-017
               3.5440888                 -4.8655031e-017
               3.5494102                 -5.2125817e-017
               3.5547317                 -5.5882428e-017
               3.5600531                 -5.9936417e-017
               3.5653746                  -6.430769e-017
               3.5706961                 -6.9018677e-017
               3.5760175                 -7.4082529e-017
                3.581339                 -7.9521598e-017
               3.5866604                 -8.5360417e-017
               3.5919819                 -9.1617164e-017
               3.5973033                 -9.8316589e-017
               3.6026248                 -1.0548551e-016
               3.6079462                 -1.1314862e-016
               3.6132677                 -1.2133243e-016
               3.6185891                 -1.3006773e-016
               3.6239106                 -1.3938621e-016
               3.6292321                 -1.4931836e-016
               3.6345535                 -1.5989979e-016
                3.639875                 -1.7116747e-016
               3.6451964                 -1.8315893e-016
               3.6505179                 -1.9591634e-016
               3.6558393                 -2.0948102e-016
               3.6611608                 -2.2389752e-016
               3.6664822                 -2.3921591e-016
               3.6718037                 -2.5548338e-016
               3.6771251                 -2.7275194e-016
               3.6824466                 -2.9108128e-016
               3.6877681                 -3.1052708e-016
               3.6930895                 -3.3115082e-016
                3.698411                 -3.5302189e-016
               3.7037324                 -3.7620632e-016
               3.7090539                 -4.0077719e-016
               3.7143753                 -4.2681178e-016
               3.7196968                 -4.5438858e-016
               3.7250182                 -4.8359439e-016
               3.7303397                 -5.1451712e-016
               3.7356612                 -5.4725007e-016
               3.7409826                 -5.8189608e-016
               3.7463041                 -6.1855796e-016
               3.7516255                 -6.5519958e-016
                3.756947                 -6.8859273e-016
               3.7622684                  -7.257036e-016
               3.7675899                 -7.6602475e-016
               3.7729113                 -8.0999587e-016
               3.7782328                 -8.5778842e-016
               3.7835542                  -9.094652e-016
