        Time / ns                Port1/real
               3.9629074                  2.1719482e-016
               3.9672009                  2.3350326e-016
               3.9714944                  2.5096081e-016
               3.9757879                  2.6964436e-016
               3.9800815                   2.896357e-016
                3.984375                  3.1102178e-016
               3.9886685                  3.3389505e-016
                3.992962                  3.5835392e-016
                4.001549                  4.1113383e-016
               4.0058425                  4.3697847e-016
                4.010136                  4.6592051e-016
               4.0144295                  4.9763445e-016
                4.018723                  5.3240414e-016
               4.0230165                  5.7042378e-016
                 4.02731                  6.1191318e-016
               4.0316035                  6.5710689e-016
               4.0358971                  7.0624406e-016
               4.0401906                   7.595706e-016
               4.0444841                  8.1735091e-016
               4.0487776                  8.7987454e-016
               4.0530711                  9.4745061e-016
               4.0573646                  1.0203991e-015
               4.0616581                  1.0990515e-015
               4.0659516                  1.1837608e-015
               4.0702451                  1.2749086e-015
               4.0745386                  1.3729018e-015
               4.0788321                  1.4781647e-015
               4.0831256                  1.5911392e-015
               4.0874191                  1.7122938e-015
               4.0917127                  1.8421315e-015
               4.0960062                  1.9811875e-015
               4.1002997                  2.1300229e-015
               4.1045932                   2.289224e-015
               4.1088867                  2.4594103e-015
               4.1131802                  2.6412429e-015
               4.1174737                  2.8354233e-015
               4.1217672                   3.042689e-015
               4.1260607                  3.2638126e-015
               4.1303542                  3.4996102e-015
               4.1346477                  3.7509494e-015
               4.1389412                  4.0187506e-015
               4.1432347                  4.3039813e-015
               4.1475282                  4.6076555e-015
               4.1518218                  4.9308408e-015
               4.1561153                  5.2746704e-015
               4.1604088                  5.6403444e-015
               4.1647023                  6.0291271e-015
               4.1689958                  6.4423434e-015
               4.1732893                  6.8813872e-015
               4.1775828                  7.3477312e-015
               4.1818763                   7.842933e-015
               4.1861698                   8.368634e-015
               4.1904633                  8.9265574e-015
               4.1947568                  9.5185158e-015
               4.1990503                  1.0146424e-014
               4.2033438                  1.0812305e-014
               4.2076374                  1.1518288e-014
               4.2119309                   1.226661e-014
               4.2162244                  1.3059626e-014
               4.2205179                  1.3899817e-014
               4.2248114                  1.4789798e-014
               4.2291049                  1.5732324e-014
               4.2333984                  1.6730288e-014
               4.2376919                  1.7786731e-014
               4.2419854                  1.8904859e-014
               4.2462789                  2.0088045e-014
               4.2505724                  2.1314643e-014
               4.2548659                  2.2436354e-014
               4.2591594                  2.3673478e-014
                4.263453                  2.5013945e-014
               4.2677465                   2.646807e-014
                 4.27204                  2.8041597e-014
