Time (ns)	Input signal	Output signal
17.7	-0.561955469	-0.005828385
17.8	-0.481738079	-0.005398128
17.9	-0.396872038	-0.004877902
18	-0.308333797	-0.004431584
18.1	-0.21714445	-0.003246847
18.2	-0.12435657	-0.002300384
18.3	-0.031038739	-0.000848143
18.4	0.061740577	0.000706994
18.5	0.152928077	0.002327093
18.6	0.241500594	0.004694493
18.7	0.326480796	0.006915404
18.8	0.406949566	0.009691858
18.9	0.482056903	0.012549843
19	0.55103704	0.015661017
19.1	0.61321568	0.019209808
19.2	0.668018216	0.022774647
19.3	0.714976617	0.026741069
19.4	0.753734302	0.030670214
19.5	0.784049616	0.034940647
19.6	0.805795268	0.039065228
19.7	0.818957231	0.043301145
19.8	0.82363347	0.047525033
19.9	0.8200304	0.051422716
20	0.808454903	0.055557104
20.1	0.789306954	0.05867067
20.2	0.763071723	0.061851398
20.3	0.73031122	0.06426643
20.4	0.691651557	0.066011134
20.5	0.647772054	0.067435584
20.6	0.599394251	0.067003087
20.7	0.547269792	0.066270094
20.8	0.492168116	0.063918525
20.9	0.434864843	0.060421287
21	0.376129936	0.055957432
21.1	0.316716696	0.048797815
21.2	0.257352807	0.04090988
21.3	0.1987294	0.03065581
21.4	0.141493863	0.018849547
21.5	0.086242763	0.005544782
21.6	0.033514031	-0.010747407
21.7	-0.016216439	-0.028014388
21.8	-0.062538605	-0.047903105
21.9	-0.105110437	-0.069196791
22	-0.143659014	-0.092113941
22.1	-0.177982733	-0.11726903
22.2	-0.207947905	-0.143170514
22.3	-0.233486593	-0.170718884
22.4	-0.254594136	-0.199087759
22.5	-0.271325764	-0.227986549
22.6	-0.283791972	-0.257452246
22.7	-0.292152625	-0.286388091
22.8	-0.296611354	-0.314853931
22.9	-0.297409772	-0.342271316
23	-0.29482189	-0.368150051
23.1	-0.28914711	-0.391960615
23.2	-0.280703844	-0.41303398
23.3	-0.269823648	-0.430978006
23.4	-0.256845612	-0.444912983
23.5	-0.242110309	-0.454764785
23.6	-0.225954596	-0.459316566
23.7	-0.208707186	-0.458701119
23.8	-0.190684404	-0.451891185
23.9	-0.172185676	-0.438623708
24	-0.153491146	-0.418971314
24.1	-0.134859118	-0.39120495
24.2	-0.116523934	-0.356748001
24.3	-0.098694346	-0.314114718
24.4	-0.081552114	-0.26398462
24.5	-0.065252495	-0.20659298
24.6	-0.049924349	-0.140410569
24.7	-0.035670119	-0.067937199
24.8	-0.02256654	0.012282092
24.9	-0.010666424	0.098779616
25	-4.75E-08	0.190512856
25.1	0.009423209	0.289085316
25.2	0.01761291	0.390637637
25.3	0.024595636	0.496544079
25.4	0.030412564	0.604511465
25.5	0.035117382	0.712898288
25.6	0.038774347	0.823143527
25.7	0.041456004	0.930577232
25.8	0.043241099	1.036217451
25.9	0.044212703	1.137553926
26	0.04445645	1.232673502
26.1	0.044058903	1.322364382
26.2	0.043105976	1.402497794
26.3	0.041681676	1.473667943
26.4	0.039867023	1.533558528
26.5	0.037739068	1.580682983
26.6	0.03537005	1.615331225
26.7	0.032826815	1.634609082
26.8	0.030170451	1.638959537
26.9	0.02745603	1.626965685
27	0.024732289	1.597997753
27.1	0.022041702	1.552123096
27.2	0.019420596	1.488404664
27.3	0.016899335	1.407423652
27.4	0.014502601	1.308736875
27.5	0.01224961	1.193297146
27.6	0.010154625	1.061008115
27.7	0.008227386	0.913147599
27.8	0.006473537	0.750561746
27.9	0.004894992	0.573828872
28	0.00349053	0.385667278
28.1	0.002256246	0.185481704
28.2	0.001185974	-0.023189232
28.3	0.000271702	-0.239230961
28.4	-0.000496032	-0.461554492
28.5	-0.001127723	-0.685712701
28.6	-0.001634574	-0.913331728
28.7	-0.002028214	-1.139526866
28.8	-0.002320418	-1.362669053
28.9	-0.002522864	-1.580555471
29	-0.002646948	-1.791176032
29.1	-0.00270363	-1.993313333
29.2	-0.002703288	-2.183263922
29.3	-0.002655618	-2.360251323
29.4	-0.002569576	-2.523211023
29.5	-0.002453329	-2.668147417
29.6	-0.002314231	-2.796008234
29.7	-0.002158804	-2.903360088
29.8	-0.001992763	-2.990543384
