Time (ns)	Input signal	Output signal
17.7	-0.561955469	-0.001790272
17.8	-0.481738079	-0.001622957
17.9	-0.396872038	-0.0014268
18	-0.308333797	-0.001230788
18.1	-0.21714445	-0.000835586
18.2	-0.12435657	-0.000484894
18.3	-0.031038739	1.19E-05
18.4	0.061740577	0.000542857
18.5	0.152928077	0.001145794
18.6	0.241500594	0.001884829
18.7	0.326480796	0.002649374
18.8	0.406949566	0.003544516
18.9	0.482056903	0.004467926
19	0.55103704	0.005535824
19.1	0.61321568	0.006588554
19.2	0.668018216	0.007755747
19.3	0.714976617	0.008966942
19.4	0.753734302	0.010176506
19.5	0.784049616	0.011559212
19.6	0.805795268	0.012696158
19.7	0.818957231	0.013993952
19.8	0.82363347	0.015184276
19.9	0.8200304	0.016282464
20	0.808454903	0.017474374
20.1	0.789306954	0.018183131
20.2	0.763071723	0.019020701
20.3	0.73031122	0.019490537
20.4	0.691651557	0.019759713
20.5	0.647772054	0.019891395
20.6	0.599394251	0.019394209
20.7	0.547269792	0.018766291
20.8	0.492168116	0.017598208
20.9	0.434864843	0.01607256
21	0.376129936	0.014060462
21.1	0.316716696	0.011451255
21.2	0.257352807	0.008390443
21.3	0.1987294	0.004669784
21.4	0.141493863	0.000490163
21.5	0.086242763	-0.004461535
21.6	0.033514031	-0.009757156
21.7	-0.016216439	-0.015767535
21.8	-0.062538605	-0.022286835
21.9	-0.105110437	-0.029224233
22	-0.143659014	-0.036917059
22.1	-0.177982733	-0.044476759
22.2	-0.207947905	-0.052705061
22.3	-0.233486593	-0.060932691
22.4	-0.254594136	-0.069229648
22.5	-0.271325764	-0.077869799
22.6	-0.283791972	-0.085563409
22.7	-0.292152625	-0.093472383
22.8	-0.296611354	-0.100518399
22.9	-0.297409772	-0.106999387
23	-0.29482189	-0.112811082
23.1	-0.28914711	-0.1168703
23.2	-0.280703844	-0.120258996
23.3	-0.269823648	-0.121750031
23.4	-0.256845612	-0.12183442
23.5	-0.242110309	-0.120103653
23.6	-0.225954596	-0.11605587
23.7	-0.208707186	-0.110223297
23.8	-0.190684404	-0.101795224
23.9	-0.172185676	-0.091372798
24	-0.153491146	-0.078340807
24.1	-0.134859118	-0.06298692
24.2	-0.116523934	-0.045278757
24.3	-0.098694346	-0.025155671
24.4	-0.081552114	-0.003085521
24.5	-0.065252495	0.021511025
24.6	-0.049924349	0.047123296
24.7	-0.035670119	0.074780733
24.8	-0.02256654	0.103446978
24.9	-0.010666424	0.132920633
25	-4.75E-08	0.163389803
25.1	0.009423209	0.192579643
25.2	0.01761291	0.222207018
25.3	0.024595636	0.250071726
25.4	0.030412564	0.276548039
25.5	0.035117382	0.301694274
25.6	0.038774347	0.321947245
25.7	0.041456004	0.340732757
25.8	0.043241099	0.354173932
25.9	0.044212703	0.364183236
26	0.04445645	0.369932189
26.1	0.044058903	0.368011569
26.2	0.043105976	0.362635742
26.3	0.041681676	0.349593197
26.4	0.039867023	0.331012167
26.5	0.037739068	0.307132961
26.6	0.03537005	0.273954111
26.7	0.032826815	0.236897912
26.8	0.030170451	0.192058388
26.9	0.02745603	0.142333899
27	0.024732289	0.087563455
27.1	0.022041702	0.025979882
27.2	0.019420596	-0.038066465
27.3	0.016899335	-0.107151
27.4	0.014502601	-0.177611784
27.5	0.01224961	-0.250444105
27.6	0.010154625	-0.323988288
27.7	0.008227386	-0.396934587
27.8	0.006473537	-0.468043538
27.9	0.004894992	-0.535764471
28	0.00349053	-0.601683057
28.1	0.002256246	-0.658304204
28.2	0.001185974	-0.712029186
28.3	0.000271702	-0.754813097
28.4	-0.000496032	-0.788915268
28.5	-0.001127723	-0.817019815
28.6	-0.001634574	-0.82596102
28.7	-0.002028214	-0.828833025
28.8	-0.002320418	-0.816357748
28.9	-0.002522864	-0.78799586
29	-0.002646948	-0.751881215
29.1	-0.00270363	-0.689302028
29.2	-0.002703288	-0.620931079
29.3	-0.002655618	-0.528171082
29.4	-0.002569576	-0.429496726
29.5	-0.002453329	-0.317179884
29.6	-0.002314231	-0.179186375
29.7	-0.002158804	-0.036762113
29.8	-0.001992763	0.12397652
29.9	-0.001821044	0.294081163
30	-0.001647841	0.471150836
30.1	-0.001476645	0.666254415
30.2	-0.001310284	0.86099947
30.3	-0.001151004	1.065483099
30.4	-0.001000518	1.269853481
30.5	-0.000860062	1.47741342
30.6	-0.00073045	1.682423381
30.7	-0.000612138	1.882635313
30.8	-0.000505277	2.077625084
30.9	-0.00040977	2.259716647
31	-0.000325307	2.434390383
31.1	-0.000251418	2.584673953
31.2	-0.000187509	2.722377514
31.3	-0.0001329	2.834245629
31.4	-8.69E-05	2.91897619
31.5	-4.86E-05	2.983267583
31.6	-1.73E-05	3.000318223
31.7	7.70E-06	2.992238467
31.8	2.72E-05	2.940367162
31.9	4.20E-05	2.848998006
32	5.27E-05	2.721411908
32.1	6.00E-05	2.530189409
32.2	6.43E-05	2.304802258
32.3	6.63E-05	2.020932736
32.4	6.63E-05	1.689962922
32.5	6.49E-05	1.313402714
32.6	6.23E-05	0.869964166
32.7	5.88E-05	0.389465114
32.8	5.48E-05	-0.150183005
32.9	5.05E-05	-0.731185877
33	4.59E-05	-1.355303482
33.1	4.13E-05	-2.028640361
33.2	3.68E-05	-2.728199205
33.3	3.25E-05	-3.464873051
33.4	2.84E-05	-4.224544263
33.5	2.46E-05	-5.000133556
33.6	2.10E-05	-5.784860689
33.7	1.78E-05	-6.568505243
33.8	1.50E-05	-7.344671253
