        Frequency / MHz                S2,2 (6)/abs,dB
----------------------------------------------------------------------
                      40                      -5.2679082
               40.259998                      -5.6227873
                   40.52                      -5.9887125
               40.779999                      -6.3687225
               41.040001                      -6.7649299
               41.299999                      -7.1782038
               41.560001                      -7.6085576
                   41.82                      -8.0563353
               42.079998                      -8.5238999
                   42.34                      -9.0169788
               42.599998                      -9.5445066
               42.860001                      -10.116091
               43.119999                      -10.736956
               43.380001                      -11.401032
               43.639999                      -12.083628
               43.900002                      -12.736672
                   44.16                      -13.291897
               44.419998                       -13.67778
                   44.68                      -13.847678
               44.939999                      -13.801707
               45.200001                      -13.584771
               45.459999                      -13.265249
               45.720001                       -12.91333
                   45.98                      -12.589316
               46.240002                      -12.339956
                    46.5                      -12.198117
               46.759998                      -12.183362
                   47.02                      -12.302998
               47.279999                      -12.553871
               47.540001                      -12.925345
               47.799999                      -13.403432
               48.060001                      -13.974924
                   48.32                      -14.628808
               48.579998                      -15.351401
                   48.84                      -16.112949
               49.099998                      -16.848589
               49.360001                      -17.448256
               49.619999                      -17.784379
               49.880001                      -17.785929
               50.139999                      -17.492382
               50.400002                      -17.017777
                   50.66                      -16.474355
               50.919998                      -15.935866
                   51.18                      -15.444565
               51.439999                       -15.03047
               51.700001                      -14.723544
               51.959999                      -14.555426
               52.220001                      -14.554945
                   52.48                      -14.742473
               52.740002                      -15.125957
                      53                      -15.699828
               53.259998                      -16.448326
                   53.52                      -17.355799
               53.779999                      -18.425458
               54.040001                      -19.703546
               54.299999                      -21.303905
               54.560001                      -23.441522
                   54.82                       -26.53182
               55.079998                      -31.636904
                   55.34                      -44.625574
               55.599998                      -36.817299
               55.860001                      -30.139459
               56.119999                      -26.995128
               56.380001                      -25.178196
               56.639999                      -24.019401
               56.900002                      -23.199976
                   57.16                      -22.573501
               57.419998                      -22.122089
                   57.68                      -21.909056
               57.939999                      -22.026093
               58.200001                      -22.561566
               58.459999                       -23.59242
               58.720001                      -25.185352
                   58.98                      -27.392546
               59.240002                      -30.231131
                    59.5                      -33.648186
               59.759998                      -37.358505
                   60.02                      -38.924222
               60.279999                      -35.207137
               60.540001                      -30.753027
               60.799999                      -27.304061
               61.060001                      -24.804569
                   61.32                      -23.083858
               61.579998                      -22.001427
                   61.84                       -21.42638
               62.099998                      -21.202938
               62.360001                      -21.129235
               62.619999                      -20.996811
               62.880001                      -20.711028
               63.139999                       -20.36734
               63.400002                        -20.1681
                   63.66                      -20.296868
               63.919998                       -20.86383
                   64.18                      -21.879096
               64.440002                      -23.166024
               64.699997                      -24.224906
               64.959999                      -24.493226
               65.220001                      -24.122495
               65.480003                      -23.727785
               65.739998                      -23.549298
                      66                      -23.196982
               66.260002                      -21.957623
               66.519997                      -19.854726
               66.779999                      -17.615054
               67.040001                      -15.720828
               67.300003                      -14.316851
               67.559998                      -13.412733
                   67.82                      -12.981108
               68.080002                      -12.984105
               68.339996                      -13.371264
               68.599998                      -14.063008
               68.860001                      -14.927985
               69.120003                      -15.781516
               69.379997                      -16.455939
               69.639999                      -16.924799
               69.900002                      -17.327548
               70.159996                      -17.848707
               70.419998                      -18.595622
                   70.68                      -19.531757
               70.940002                      -20.429358
               71.199997                      -20.924557
               71.459999                      -20.831572
               71.720001                      -20.355199
               71.980003                      -19.807757
               72.239998                      -19.335769
                    72.5                      -18.919315
               72.760002                      -18.472543
               73.019997                      -17.944806
               73.279999                      -17.368672
               73.540001                      -16.830041
               73.800003                      -16.408898
               74.059998                      -16.145248
                   74.32                      -16.035596
               74.580002                      -16.045192
               74.839996                      -16.128182
               75.099998                      -16.251452
               75.360001                       -16.41258
               75.620003                      -16.640949
               75.879997                      -16.982626
               76.139999                      -17.481171
               76.400002                      -18.165036
               76.659996                      -19.044213
               76.919998                      -20.115005
                   77.18                      -21.371863
               77.440002                      -22.822722
               77.699997                      -24.493592
               77.959999                      -26.381343
               78.220001                      -28.246556
               78.480003                      -29.217726
               78.739998                      -28.421457
                      79                      -26.557683
               79.260002                      -24.625273
               79.519997                      -22.953809
               79.779999                      -21.557951
               80.040001                      -20.385742
               80.300003                       -19.39154
               80.559998                      -18.549785
                   80.82                      -17.849837
               81.080002                      -17.285937
               81.339996                      -16.849319
               81.599998                      -16.525538
               81.860001                       -16.29707
               82.120003                      -16.149356
               82.379997                      -16.076813
               82.639999                      -16.085085
               82.900002                      -16.187832
               83.159996                      -16.399522
               83.419998                      -16.727604
                   83.68                      -17.167323
               83.940002                      -17.701697
               84.199997                       -18.30854
               84.459999                      -18.974112
               84.720001                      -19.707953
               84.980003                      -20.550001
               85.239998                      -21.565524
                    85.5                      -22.832262
               85.760002                       -24.42588
               86.019997                      -26.398714
               86.279999                      -28.715447
               86.540001                      -31.036672
               86.800003                      -32.372996
               87.059998                      -31.876765
                   87.32                      -30.248657
               87.580002                      -28.402853
               87.839996                      -26.681836
               88.099998                      -25.181243
               88.360001                      -23.931829
               88.620003                       -22.93615
               88.879997                       -22.17403
               89.139999                      -21.607258
               89.400002                      -21.188026
               89.659996                      -20.871137
               89.919998                      -20.626862
                   90.18                      -20.447922
               90.440002                      -20.345701
               90.699997                      -20.337875
               90.959999                      -20.434846
               91.220001                      -20.631286
               91.480003                      -20.905683
               91.739998                      -21.228223
                      92                      -21.574158
               92.260002                      -21.934734
               92.519997                       -22.31625
               92.779999                      -22.724831
               93.040001                      -23.145045
               93.300003                      -23.526361
               93.559998                      -23.792444
                   93.82                      -23.878704
               94.080002                       -23.77314
               94.339996                       -23.51804
               94.599998                      -23.171447
               94.860001                      -22.771675
               95.120003                      -22.332038
               95.379997                      -21.857572
               95.639999                      -21.362562
               95.900002                      -20.874387
               96.159996                      -20.424126
               96.419998                      -20.034255
                   96.68                      -19.712101
               96.940002                      -19.451205
               97.199997                      -19.238491
               97.459999                      -19.063296
               97.720001                      -18.923753
               97.980003                      -18.827372
               98.239998                      -18.786156
                    98.5                      -18.809725
               98.760002                      -18.900301
               99.019997                      -19.051737
               99.279999                      -19.252767
               99.540001                      -19.492878
               99.800003                      -19.767886
                  100.06                      -20.082074
                  100.32                      -20.445595
                  100.58                      -20.868672
                  100.84                      -21.355602
                   101.1                      -21.901116
                  101.36                      -22.490039
                  101.62                      -23.099646
                  101.88                      -23.702831
                  102.14                      -24.269788
                   102.4                       -24.76746
                  102.66                       -25.15925
                  102.92                      -25.409367
                  103.18                       -25.49287
                  103.44                      -25.405518
                   103.7                      -25.165477
                  103.96                      -24.806281
                  104.22                      -24.367751
                  104.48                      -23.889942
                  104.74                      -23.409584
                     105                       -22.95684
                  105.26                      -22.552089
                  105.52                      -22.204153
                  105.78                      -21.911375
                  106.04                      -21.665855
                   106.3                      -21.459595
                  106.56                      -21.289875
                  106.82                      -21.161058
                  107.08                      -21.081784
                  107.34                      -21.059312
                   107.6                      -21.094307
                  107.86                      -21.178989
                  108.12                      -21.299974
                  108.38                      -21.444882
                  108.64                      -21.609136
                   108.9                      -21.798309
                  109.16                       -22.02359
                  109.42                      -22.292418
                  109.68                      -22.599349
                  109.94                      -22.922311
                   110.2                      -23.227583
                  110.46                      -23.482666
                  110.72                      -23.669414
                  110.98                      -23.786573
                  111.24                       -23.83888
                   111.5                      -23.823029
                  111.76                      -23.724267
                  112.02                      -23.527926
                  112.28                      -23.235911
                  112.54                      -22.872057
                   112.8                       -22.47105
                  113.06                      -22.061603
                  113.32                      -21.657091
                  113.58                       -21.25778
                  113.84                      -20.860382
                   114.1                      -20.467273
                  114.36                      -20.089267
                  114.62                      -19.741065
                  114.88                      -19.433627
                  115.14                      -19.168937
                   115.4                      -18.940143
                  115.66                      -18.736829
                  115.92                      -18.552373
                  116.18                      -18.388865
                  116.44                      -18.256324
                   116.7                      -18.166629
                  116.96                      -18.125917
                  117.22                      -18.129746
                  117.48                      -18.163841
                  117.74                      -18.210911
                     118                      -18.260821
                  118.26                      -18.318354
                  118.52                      -18.403167
                  118.78                       -18.54159
                  119.04                      -18.755057
                   119.3                      -19.050641
                  119.56                      -19.416864
                  119.82                      -19.826424
                  120.08                      -20.246511
                  120.34                      -20.654038
                   120.6                      -21.047403
                  120.86                      -21.445615
                  121.12                      -21.874232
                  121.38                      -22.346941
                  121.64                      -22.852754
                   121.9                      -23.354776
                  122.16                      -23.802926
                  122.42                      -24.156026
                  122.68                      -24.398068
                  122.94                      -24.533981
                   123.2                      -24.570113
                  123.46                      -24.500773
                  123.72                      -24.314545
                  123.98                      -24.013079
                  124.24                      -23.621973
                   124.5                      -23.182452
                  124.76                      -22.733004
                  125.02                      -22.296647
                  125.28                       -21.88004
                  125.54                       -21.48094
                   125.8                      -21.097375
                  126.06                      -20.732951
                  126.32                      -20.396257
                  126.58                      -20.096321
                  126.84                      -19.837928
                   127.1                      -19.619761
                  127.36                      -19.436022
                  127.62                       -19.28029
                  127.88                      -19.149259
                  128.14                      -19.044231
               128.39999                      -18.969681
                  128.66                      -18.930025
                  128.92                      -18.926666
               129.17999                      -18.957009
                  129.44                      -19.015878
                   129.7                      -19.098514
               129.96001                      -19.203343
                  130.22                      -19.332861
                  130.48                      -19.492033
               130.74001                      -19.685165
                     131                      -19.913038
               131.25999                      -20.171919
                  131.52                      -20.455038
                  131.78                       -20.75583
               132.03999                      -21.071158
                   132.3                      -21.402481
                  132.56                       -21.75408
               132.81999                      -22.129209
                  133.08                      -22.526351
                  133.34                      -22.937621
               133.60001                      -23.350225
                  133.86                      -23.750161
                  134.12                      -24.125717
                  134.38                       -24.46821
                  134.64                      -24.769359
               134.89999                      -25.017694
                  135.16                      -25.197809
                  135.42                      -25.294472
               135.67999                      -25.299346
                  135.94                      -25.215092
                   136.2                       -25.05339
               136.46001                      -24.828901
                  136.72                        -24.5544
                  136.98                      -24.240257
               137.24001                      -23.897108
                   137.5                      -23.538169
               137.75999                      -23.178616
                  138.02                       -22.83232
                  138.28                      -22.508263
               138.53999                      -22.209007
